Date,Close/Last,Volume,Open,High,Low
08/29/2019,$92.76,2231369,$92.76,$92.80,$91.53
08/28/2019,$92.30,2639172,$92.41,$93.15,$91.90
08/27/2019,$92.15,3668124,$91.77,$92.84,$91.66
08/26/2019,$91.35,2037100,$90.93,$91.39,$90.57
08/23/2019,$90.74,3153865,$91.45,$91.67,$90.26
08/22/2019,$91.32,1945546,$91.29,$92.11,$90.50
08/21/2019,$91.24,2754409,$90.47,$91.29,$90.085
08/20/2019,$91.18,3611263,$91.03,$91.54,$90.67
08/19/2019,$90.67,2632449,$89.70,$91.115,$89.36
08/16/2019,$89.77,2285485,$89.40,$90.14,$89.23
08/15/2019,$89.28,2384790,$87.69,$89.58,$87.57
08/14/2019,$88.81,3584581,$90.16,$90.56,$88.65
08/13/2019,$89.82,2408661,$89.64,$90.03,$88.80
08/12/2019,$89.50,2301991,$89.95,$90.00,$88.97
08/09/2019,$89.75,2355192,$89.49,$90.18,$89.28
08/08/2019,$89.31,2252100,$88.42,$89.52,$88.34
08/07/2019,$88.84,2630061,$88.91,$89.50,$87.84
08/06/2019,$88.92,3943320,$87.30,$89.43,$86.31
08/05/2019,$86.96,3969244,$88.48,$88.85,$86.53
08/02/2019,$88.12,3228908,$87.84,$88.73,$87.55
08/01/2019,$87.50,3055025,$86.80,$88.02,$86.38
07/31/2019,$86.72,2824804,$87.62,$87.83,$86.31
07/30/2019,$87.74,2696559,$87.61,$88.18,$86.91
07/29/2019,$87.79,2442853,$87.23,$87.875,$87.02
07/26/2019,$86.91,2425972,$86.50,$87.08,$86.27
07/25/2019,$86.49,2680408,$86.90,$87.39,$86.17
07/24/2019,$87.18,2386500,$87.95,$87.98,$86.80
07/23/2019,$87.68,3141837,$88.18,$88.243,$87.37
07/22/2019,$88.15,2160466,$88.60,$88.69,$87.835
07/19/2019,$88.45,2408433,$89.64,$89.82,$88.43
07/18/2019,$89.79,1911674,$89.21,$89.85,$88.66
07/17/2019,$89.14,2103141,$89.34,$89.69,$88.89
07/16/2019,$89.03,1727131,$89.11,$89.53,$88.37
07/15/2019,$89.38,1847675,$88.81,$89.53,$88.55
07/12/2019,$88.70,2101451,$89.59,$89.59,$88.4374
07/11/2019,$89.45,2379217,$89.49,$90.03,$88.605
07/10/2019,$89.63,2401694,$89.80,$90.14,$89.30
07/09/2019,$89.40,2597959,$90.25,$90.27,$88.87
07/08/2019,$89.66,2046868,$89.90,$90.06,$89.06
07/05/2019,$89.68,1743963,$89.42,$89.7651,$88.21
07/03/2019,$90.10,1717593,$89.20,$90.60,$89.20
07/02/2019,$89.14,2038970,$88.17,$89.45,$88.16
07/01/2019,$88.01,2849889,$88.01,$88.24,$87.24
06/28/2019,$88.24,3875664,$88.49,$89.14,$87.94
06/27/2019,$88.55,2726733,$88.07,$88.72,$87.77
06/26/2019,$87.98,3436979,$89.84,$89.9449,$87.93
06/25/2019,$90.12,3996825,$89.91,$90.68,$89.775
06/24/2019,$89.91,3305665,$89.62,$90.13,$89.22
06/21/2019,$89.53,6867466,$88.64,$89.60,$87.965
06/20/2019,$88.58,2428285,$88.14,$88.835,$87.68
06/19/2019,$87.65,2683249,$86.90,$88.12,$86.68
06/18/2019,$87.24,2532637,$88.36,$88.50,$86.315
06/17/2019,$87.95,2448644,$88.08,$88.59,$87.515
06/14/2019,$87.87,3237646,$86.78,$88.165,$86.75
