Date,Close/Last,Volume,Open,High,Low
08/05/2024,$36.48,306084,$34.78,$36.50,$33.51
08/02/2024,$37.60,264152,$39.45,$39.74,$37.25
08/01/2024,$40.73,297204,$43.92,$43.92,$39.50
07/31/2024,$43.69,176235,$42.85,$44.65,$42.64
07/30/2024,$42.55,142019,$41.55,$42.72,$41.24
07/29/2024,$41.60,165635,$42.79,$43.2972,$41.25
07/26/2024,$42.69,112056,$42.07,$42.85,$41.49
07/25/2024,$41.80,209717,$42.19,$43.245,$41.74
07/24/2024,$42.55,146720,$43.86,$43.86,$42.31
07/23/2024,$43.58,161654,$43.19,$44.47,$42.24
07/22/2024,$43.66,201585,$44.10,$44.615,$42.76
07/19/2024,$44.35,366789,$44.02,$45.4157,$42.50
07/18/2024,$44.01,151789,$44.90,$45.82,$43.92
07/17/2024,$45.04,277355,$48.16,$48.83,$44.80
07/16/2024,$48.88,226081,$48.07,$48.96,$46.70
07/15/2024,$47.25,302263,$49.41,$49.45,$46.8001
07/12/2024,$48.79,359365,$46.61,$48.93,$46.01
07/11/2024,$46.13,270357,$43.00,$46.14,$41.5801
07/10/2024,$41.98,331684,$40.98,$43.00,$40.98
07/09/2024,$40.75,257003,$39.11,$41.09,$38.90
07/08/2024,$39.22,320640,$41.79,$42.11,$38.69
07/05/2024,$41.38,191996,$42.07,$42.32,$40.73
07/03/2024,$42.23,146253,$42.50,$43.16,$42.00
07/02/2024,$41.99,186122,$41.22,$42.56,$41.22
07/01/2024,$41.90,187797,$43.46,$43.46,$41.29
06/28/2024,$42.75,733161,$43.25,$43.743,$41.7701
06/27/2024,$42.52,243987,$43.88,$44.08,$41.70
06/26/2024,$44.00,228221,$44.17,$45.27,$42.73
06/25/2024,$44.61,342843,$43.30,$45.045,$43.10
06/24/2024,$43.80,272038,$43.82,$44.87,$43.10
06/21/2024,$43.75,899105,$42.50,$43.76,$41.657
06/20/2024,$42.63,261150,$42.38,$44.24,$42.29
06/18/2024,$41.69,197464,$42.00,$43.68,$41.63
06/17/2024,$41.85,313225,$41.71,$44.00,$40.24
06/14/2024,$41.72,171285,$43.30,$43.76,$41.45
06/13/2024,$43.19,179097,$42.63,$43.50,$42.63
